FIPSCode,LocationType,Location,GradeLevel,StudentResponse,TimeFrame,DataFormat,Data
06,State,California,Grade 7,None,2011_2013,Percent,60.9
06001,County,Alameda County,Grade 7,None,2011_2013,Percent,60.3
06003,County,Alpine County,Grade 7,None,2011_2013,Percent,S
06007,County,Butte County,Grade 7,None,2011_2013,Percent,55.6
06009,County,Calaveras County,Grade 7,None,2011_2013,Percent,60.3
06011,County,Colusa County,Grade 7,None,2011_2013,Percent,71.9
06013,County,Contra Costa County,Grade 7,None,2011_2013,Percent,56.7
06015,County,Del Norte County,Grade 7,None,2011_2013,Percent,49.2
06017,County,El Dorado County,Grade 7,None,2011_2013,Percent,55.5
06019,County,Fresno County,Grade 7,None,2011_2013,Percent,S
06021,County,Glenn County,Grade 7,None,2011_2013,Percent,S
06023,County,Humboldt County,Grade 7,None,2011_2013,Percent,67.4
06025,County,Imperial County,Grade 7,None,2011_2013,Percent,65.8
06027,County,Inyo County,Grade 7,None,2011_2013,Percent,46.4
06029,County,Kern County,Grade 7,None,2011_2013,Percent,61.5
06031,County,Kings County,Grade 7,None,2011_2013,Percent,S
06033,County,Lake County,Grade 7,None,2011_2013,Percent,N_A
06035,County,Lassen County,Grade 7,None,2011_2013,Percent,43.6
06037,County,Los Angeles County,Grade 7,None,2011_2013,Percent,62.4
06039,County,Madera County,Grade 7,None,2011_2013,Percent,61.2
06041,County,Marin County,Grade 7,None,2011_2013,Percent,56.0
06043,County,Mariposa County,Grade 7,None,2011_2013,Percent,S
06045,County,Mendocino County,Grade 7,None,2011_2013,Percent,65.9
06047,County,Merced County,Grade 7,None,2011_2013,Percent,S
06049,County,Modoc County,Grade 7,None,2011_2013,Percent,S
06051,County,Mono County,Grade 7,None,2011_2013,Percent,S
06053,County,Monterey County,Grade 7,None,2011_2013,Percent,62.9
06055,County,Napa County,Grade 7,None,2011_2013,Percent,65.6
06057,County,Nevada County,Grade 7,None,2011_2013,Percent,68.3
06059,County,Orange County,Grade 7,None,2011_2013,Percent,63.6
06061,County,Placer County,Grade 7,None,2011_2013,Percent,S
06063,County,Plumas County,Grade 7,None,2011_2013,Percent,55.4
06065,County,Riverside County,Grade 7,None,2011_2013,Percent,62.6
06067,County,Sacramento County,Grade 7,None,2011_2013,Percent,59.9
06069,County,San Benito County,Grade 7,None,2011_2013,Percent,S
06071,County,San Bernardino County,Grade 7,None,2011_2013,Percent,S
06073,County,San Diego County,Grade 7,None,2011_2013,Percent,58.4
