FIPSCode,LocationType,Location,GradeLevel,StudentResponse,TimeFrame,DataFormat,Data
06,State,California,Grade 7,No,2015_2017,Percent,95.2
06,State,California,Grade 7,Yes,2015_2017,Percent,4.8
06,State,California,Grade 9,No,2015_2017,Percent,95.2
06,State,California,Grade 9,Yes,2015_2017,Percent,4.8
06,State,California,Grade 11,No,2015_2017,Percent,95.3
06,State,California,Grade 11,Yes,2015_2017,Percent,4.7
06,State,California,Non_Traditional,No,2015_2017,Percent,93.6
06,State,California,Non_Traditional,Yes,2015_2017,Percent,6.4
06001,County,Alameda County,Grade 7,No,2015_2017,Percent,96.0
06001,County,Alameda County,Grade 7,Yes,2015_2017,Percent,4.0
06001,County,Alameda County,Grade 9,No,2015_2017,Percent,96.2
06001,County,Alameda County,Grade 9,Yes,2015_2017,Percent,3.8
06001,County,Alameda County,Grade 11,No,2015_2017,Percent,96.0
06001,County,Alameda County,Grade 11,Yes,2015_2017,Percent,4.0
06001,County,Alameda County,Non_Traditional,No,2015_2017,Percent,95.5
06001,County,Alameda County,Non_Traditional,Yes,2015_2017,Percent,4.5
06003,County,Alpine County,Grade 7,No,2015_2017,Percent,S
06003,County,Alpine County,Grade 7,Yes,2015_2017,Percent,S
06003,County,Alpine County,Grade 9,No,2015_2017,Percent,N_A
06003,County,Alpine County,Grade 9,Yes,2015_2017,Percent,N_A
06003,County,Alpine County,Grade 11,No,2015_2017,Percent,N_A
06003,County,Alpine County,Grade 11,Yes,2015_2017,Percent,N_A
06003,County,Alpine County,Non_Traditional,No,2015_2017,Percent,N_A
06003,County,Alpine County,Non_Traditional,Yes,2015_2017,Percent,N_A
06005,County,Amador County,Grade 7,No,2015_2017,Percent,94.8
06005,County,Amador County,Grade 7,Yes,2015_2017,Percent,5.2
06005,County,Amador County,Grade 9,No,2015_2017,Percent,94.2
06005,County,Amador County,Grade 9,Yes,2015_2017,Percent,5.8
06005,County,Amador County,Grade 11,No,2015_2017,Percent,94.8
06005,County,Amador County,Grade 11,Yes,2015_2017,Percent,5.2
06005,County,Amador County,Non_Traditional,No,2015_2017,Percent,S
06005,County,Amador County,Non_Traditional,Yes,2015_2017,Percent,S
06007,County,Butte County,Grade 7,No,2015_2017,Percent,97.2
06007,County,Butte County,Grade 7,Yes,2015_2017,Percent,2.8
06007,County,Butte County,Grade 9,No,2015_2017,Percent,93.2
06007,County,Butte County,Grade 9,Yes,2015_2017,Percent,6.8
06007,County,Butte County,Grade 11,No,2015_2017,Percent,93.6
06007,County,Butte County,Grade 11,Yes,2015_2017,Percent,6.4
06007,County,Butte County,Non_Traditional,No,2015_2017,Percent,92.1
06007,County,Butte County,Non_Traditional,Yes,2015_2017,Percent,7.9
06009,County,Calaveras County,Grade 7,No,2015_2017,Percent,96.8
06009,County,Calaveras County,Grade 7,Yes,2015_2017,Percent,3.2
06009,County,Calaveras County,Grade 9,No,2015_2017,Percent,94.0
06009,County,Calaveras County,Grade 9,Yes,2015_2017,Percent,6.0
06009,County,Calaveras County,Grade 11,No,2015_2017,Percent,91.4
06009,County,Calaveras County,Grade 11,Yes,2015_2017,Percent,8.6
06009,County,Calaveras County,Non_Traditional,No,2015_2017,Percent,S
06009,County,Calaveras County,Non_Traditional,Yes,2015_2017,Percent,S
06011,County,Colusa County,Grade 7,No,2015_2017,Percent,97.8
06011,County,Colusa County,Grade 7,Yes,2015_2017,Percent,2.2
06011,County,Colusa County,Grade 9,No,2015_2017,Percent,95.1
06011,County,Colusa County,Grade 9,Yes,2015_2017,Percent,4.9
06011,County,Colusa County,Grade 11,No,2015_2017,Percent,93.8
06011,County,Colusa County,Grade 11,Yes,2015_2017,Percent,6.2
06011,County,Colusa County,Non_Traditional,No,2015_2017,Percent,S
06011,County,Colusa County,Non_Traditional,Yes,2015_2017,Percent,S
06013,County,Contra Costa County,Grade 7,No,2015_2017,Percent,95.4
06013,County,Contra Costa County,Grade 7,Yes,2015_2017,Percent,4.6
06013,County,Contra Costa County,Grade 9,No,2015_2017,Percent,95.0
06013,County,Contra Costa County,Grade 9,Yes,2015_2017,Percent,5.0
06013,County,Contra Costa County,Grade 11,No,2015_2017,Percent,94.5
06013,County,Contra Costa County,Grade 11,Yes,2015_2017,Percent,5.5
06013,County,Contra Costa County,Non_Traditional,No,2015_2017,Percent,S
06013,County,Contra Costa County,Non_Traditional,Yes,2015_2017,Percent,S
06015,County,Del Norte County,Grade 7,No,2015_2017,Percent,91.1
06015,County,Del Norte County,Grade 7,Yes,2015_2017,Percent,8.9
06015,County,Del Norte County,Grade 9,No,2015_2017,Percent,90.0
06015,County,Del Norte County,Grade 9,Yes,2015_2017,Percent,10.0
06015,County,Del Norte County,Grade 11,No,2015_2017,Percent,88.0
06015,County,Del Norte County,Grade 11,Yes,2015_2017,Percent,12.0
06015,County,Del Norte County,Non_Traditional,No,2015_2017,Percent,S
06015,County,Del Norte County,Non_Traditional,Yes,2015_2017,Percent,S
06017,County,El Dorado County,Grade 7,No,2015_2017,Percent,95.7
06017,County,El Dorado County,Grade 7,Yes,2015_2017,Percent,4.3
06017,County,El Dorado County,Grade 9,No,2015_2017,Percent,95.1
06017,County,El Dorado County,Grade 9,Yes,2015_2017,Percent,4.9
06017,County,El Dorado County,Grade 11,No,2015_2017,Percent,94.0
06017,County,El Dorado County,Grade 11,Yes,2015_2017,Percent,6.0
06017,County,El Dorado County,Non_Traditional,No,2015_2017,Percent,S
06017,County,El Dorado County,Non_Traditional,Yes,2015_2017,Percent,S
06019,County,Fresno County,Grade 7,No,2015_2017,Percent,S
06019,County,Fresno County,Grade 7,Yes,2015_2017,Percent,S
06019,County,Fresno County,Grade 9,No,2015_2017,Percent,S
06019,County,Fresno County,Grade 9,Yes,2015_2017,Percent,S
06019,County,Fresno County,Grade 11,No,2015_2017,Percent,S
06019,County,Fresno County,Grade 11,Yes,2015_2017,Percent,S
06019,County,Fresno County,Non_Traditional,No,2015_2017,Percent,S
