FIPSCode,LocationType,Location,TimeFrame,DataFormat,Data
06,State,California,2011,Number,"6,217,002"
06,State,California,2013,Number,"6,226,989"
06,State,California,2015,Number,"6,235,520"
06,State,California,2017,Number,"6,228,235"
06001,County,Alameda County,2011,Number,"216,194"
06001,County,Alameda County,2013,Number,"220,286"
06001,County,Alameda County,2015,Number,"224,966"
06001,County,Alameda County,2017,Number,"226,904"
06003,County,Alpine County,2011,Number,88
06003,County,Alpine County,2013,Number,105
06003,County,Alpine County,2015,Number,89
06003,County,Alpine County,2017,Number,82
06005,County,Amador County,2011,Number,"4,307"
06005,County,Amador County,2013,Number,"4,184"
06005,County,Amador County,2015,Number,"4,034"
06005,County,Amador County,2017,Number,"4,086"
06007,County,Butte County,2011,Number,"31,226"
06007,County,Butte County,2013,Number,"31,262"
06007,County,Butte County,2015,Number,"31,002"
06007,County,Butte County,2017,Number,"31,384"
06009,County,Calaveras County,2011,Number,"6,122"
06009,County,Calaveras County,2013,Number,"5,959"
06009,County,Calaveras County,2015,Number,"5,757"
06009,County,Calaveras County,2017,Number,"5,596"
06011,County,Colusa County,2011,Number,"4,486"
06011,County,Colusa County,2013,Number,"4,482"
06011,County,Colusa County,2015,Number,"4,588"
06011,County,Colusa County,2017,Number,"4,671"
06013,County,Contra Costa County,2011,Number,"168,228"
06013,County,Contra Costa County,2013,Number,"171,418"
06013,County,Contra Costa County,2015,Number,"174,802"
06013,County,Contra Costa County,2017,Number,"177,370"
06015,County,Del Norte County,2011,Number,"4,276"
06015,County,Del Norte County,2013,Number,"4,197"
06015,County,Del Norte County,2015,Number,"4,121"
06015,County,Del Norte County,2017,Number,"4,258"
06017,County,El Dorado County,2011,Number,"29,972"
06017,County,El Dorado County,2013,Number,"29,441"
06017,County,El Dorado County,2015,Number,"26,960"
06017,County,El Dorado County,2017,Number,"27,021"
06019,County,Fresno County,2011,Number,"193,671"
06019,County,Fresno County,2013,Number,"196,503"
06019,County,Fresno County,2015,Number,"199,366"
06019,County,Fresno County,2017,Number,"202,221"
06021,County,Glenn County,2011,Number,"5,664"
06021,County,Glenn County,2013,Number,"5,515"
06021,County,Glenn County,2015,Number,"5,669"
06021,County,Glenn County,2017,Number,"5,626"
06023,County,Humboldt County,2011,Number,"18,113"
06023,County,Humboldt County,2013,Number,"17,936"
06023,County,Humboldt County,2015,Number,"18,236"
06023,County,Humboldt County,2017,Number,"18,442"
06025,County,Imperial County,2011,Number,"36,427"
06025,County,Imperial County,2013,Number,"36,589"
06025,County,Imperial County,2015,Number,"37,192"
06025,County,Imperial County,2017,Number,"37,573"
06027,County,Inyo County,2011,Number,"3,878"
06027,County,Inyo County,2013,Number,"4,458"
06027,County,Inyo County,2015,Number,"5,194"
06027,County,Inyo County,2017,Number,"4,550"
06029,County,Kern County,2011,Number,"173,733"
06029,County,Kern County,2013,Number,"178,671"
06029,County,Kern County,2015,Number,"180,304"
06029,County,Kern County,2017,Number,"185,236"
06031,County,Kings County,2011,Number,"28,941"
06031,County,Kings County,2013,Number,"28,781"
06031,County,Kings County,2015,Number,"28,653"
06031,County,Kings County,2017,Number,"28,883"
06033,County,Lake County,2011,Number,"8,734"
06033,County,Lake County,2013,Number,"9,145"
06033,County,Lake County,2015,Number,"9,165"
06033,County,Lake County,2017,Number,"9,435"
06035,County,Lassen County,2011,Number,"4,888"
06035,County,Lassen County,2013,Number,"4,645"
06035,County,Lassen County,2015,Number,"4,451"
06035,County,Lassen County,2017,Number,"4,253"
06037,County,Los Angeles County,2011,Number,"1,589,390"
06037,County,Los Angeles County,2013,Number,"1,564,205"
06037,County,Los Angeles County,2015,Number,"1,539,260"
06037,County,Los Angeles County,2017,Number,"1,511,354"
06039,County,Madera County,2011,Number,"29,993"
06039,County,Madera County,2013,Number,"30,478"
06039,County,Madera County,2015,Number,"30,865"
06039,County,Madera County,2017,Number,"31,468"
06041,County,Marin County,2011,Number,"30,574"
06041,County,Marin County,2013,Number,"31,868"
06041,County,Marin County,2015,Number,"33,207"
06041,County,Marin County,2017,Number,"33,633"
06043,County,Mariposa County,2011,Number,"2,118"
06043,County,Mariposa County,2013,Number,"1,916"
06043,County,Mariposa County,2015,Number,"1,869"
06043,County,Mariposa County,2017,Number,"1,892"
06045,County,Mendocino County,2011,Number,"12,992"
06045,County,Mendocino County,2013,Number,"13,100"
06045,County,Mendocino County,2015,Number,"13,009"
06045,County,Mendocino County,2017,Number,"13,174"
06047,County,Merced County,2011,Number,"55,563"
06047,County,Merced County,2013,Number,"56,349"
06047,County,Merced County,2015,Number,"57,011"
06047,County,Merced County,2017,Number,"58,271"
06049,County,Modoc County,2011,Number,"1,568"
06049,County,Modoc County,2013,Number,"1,445"
06049,County,Modoc County,2015,Number,"1,436"
06049,County,Modoc County,2017,Number,"1,445"
06051,County,Mono County,2011,Number,"1,688"
06051,County,Mono County,2013,Number,"2,038"
06051,County,Mono County,2015,Number,"2,111"
06051,County,Mono County,2017,Number,"1,998"
06053,County,Monterey County,2011,Number,"71,232"
06053,County,Monterey County,2013,Number,"73,460"
06053,County,Monterey County,2015,Number,"75,997"
06053,County,Monterey County,2017,Number,"77,517"
06055,County,Napa County,2011,Number,"20,582"
06055,County,Napa County,2013,Number,"20,725"
06055,County,Napa County,2015,Number,"21,002"
06055,County,Napa County,2017,Number,"20,562"
06057,County,Nevada County,2011,Number,"13,164"
06057,County,Nevada County,2013,Number,"12,509"
06057,County,Nevada County,2015,Number,"12,305"
06057,County,Nevada County,2017,Number,"11,607"
06059,County,Orange County,2011,Number,"502,895"
06059,County,Orange County,2013,Number,"501,801"
06059,County,Orange County,2015,Number,"497,116"
06059,County,Orange County,2017,Number,"490,430"
06061,County,Placer County,2011,Number,"68,278"
06061,County,Placer County,2013,Number,"69,831"
06061,County,Placer County,2015,Number,"70,496"
06061,County,Placer County,2017,Number,"72,769"
06063,County,Plumas County,2011,Number,"2,305"
06063,County,Plumas County,2013,Number,"2,157"
06063,County,Plumas County,2015,Number,"2,161"
06063,County,Plumas County,2017,Number,"2,156"
06065,County,Riverside County,2011,Number,"425,019"
06065,County,Riverside County,2013,Number,"425,968"
06065,County,Riverside County,2015,Number,"425,883"
06065,County,Riverside County,2017,Number,"428,489"
06067,County,Sacramento County,2011,Number,"237,567"
06067,County,Sacramento County,2013,Number,"238,290"
06067,County,Sacramento County,2015,Number,"241,022"
06067,County,Sacramento County,2017,Number,"244,394"
06069,County,San Benito County,2011,Number,"11,199"
06069,County,San Benito County,2013,Number,"11,233"
06069,County,San Benito County,2015,Number,"11,166"
06069,County,San Benito County,2017,Number,"11,164"
06071,County,San Bernardino County,2011,Number,"417,202"
06071,County,San Bernardino County,2013,Number,"412,163"
06071,County,San Bernardino County,2015,Number,"410,696"
06071,County,San Bernardino County,2017,Number,"406,528"
06073,County,San Diego County,2011,Number,"497,916"
06073,County,San Diego County,2013,Number,"499,850"
06073,County,San Diego County,2015,Number,"503,848"
06073,County,San Diego County,2017,Number,"505,310"
06075,County,San Francisco County,2011,Number,"56,758"
06075,County,San Francisco County,2013,Number,"57,860"
06075,County,San Francisco County,2015,Number,"59,105"
06075,County,San Francisco County,2017,Number,"60,748"
06077,County,San Joaquin County,2011,Number,"136,303"
06077,County,San Joaquin County,2013,Number,"139,146"
06077,County,San Joaquin County,2015,Number,"143,949"
06077,County,San Joaquin County,2017,Number,"147,555"
06079,County,San Luis Obispo County,2011,Number,"34,299"
06079,County,San Luis Obispo County,2013,Number,"34,670"
06079,County,San Luis Obispo County,2015,Number,"34,776"
06079,County,San Luis Obispo County,2017,Number,"34,792"
06081,County,San Mateo County,2011,Number,"92,097"
06081,County,San Mateo County,2013,Number,"93,931"
06081,County,San Mateo County,2015,Number,"95,187"
06081,County,San Mateo County,2017,Number,"95,620"
06083,County,Santa Barbara County,2011,Number,"66,048"
06083,County,Santa Barbara County,2013,Number,"66,837"
06083,County,Santa Barbara County,2015,Number,"68,581"
06083,County,Santa Barbara County,2017,Number,"69,062"
06085,County,Santa Clara County,2011,Number,"266,256"
06085,County,Santa Clara County,2013,Number,"273,701"
06085,County,Santa Clara County,2015,Number,"276,689"
06085,County,Santa Clara County,2017,Number,"273,264"
06087,County,Santa Cruz County,2011,Number,"38,974"
06087,County,Santa Cruz County,2013,Number,"39,960"
06087,County,Santa Cruz County,2015,Number,"40,584"
06087,County,Santa Cruz County,2017,Number,"40,462"
06089,County,Shasta County,2011,Number,"27,392"
06089,County,Shasta County,2013,Number,"27,176"
06089,County,Shasta County,2015,Number,"26,626"
06089,County,Shasta County,2017,Number,"26,462"
06091,County,Sierra County,2011,Number,427
06091,County,Sierra County,2013,Number,381
06091,County,Sierra County,2015,Number,372
06091,County,Sierra County,2017,Number,376
06093,County,Siskiyou County,2011,Number,"5,996"
06093,County,Siskiyou County,2013,Number,"5,898"
06093,County,Siskiyou County,2015,Number,"5,727"
06093,County,Siskiyou County,2017,Number,"5,879"
06095,County,Solano County,2011,Number,"64,494"
06095,County,Solano County,2013,Number,"64,010"
06095,County,Solano County,2015,Number,"63,799"
06095,County,Solano County,2017,Number,"63,643"
06097,County,Sonoma County,2011,Number,"70,867"
06097,County,Sonoma County,2013,Number,"70,637"
06097,County,Sonoma County,2015,Number,"71,096"
06097,County,Sonoma County,2017,Number,"70,940"
06099,County,Stanislaus County,2011,Number,"104,802"
06099,County,Stanislaus County,2013,Number,"105,588"
06099,County,Stanislaus County,2015,Number,"106,920"
06099,County,Stanislaus County,2017,Number,"109,513"
06101,County,Sutter County,2011,Number,"20,652"
06101,County,Sutter County,2013,Number,"21,170"
06101,County,Sutter County,2015,Number,"21,459"
06101,County,Sutter County,2017,Number,"22,633"
06103,County,Tehama County,2011,Number,"10,786"
06103,County,Tehama County,2013,Number,"10,495"
06103,County,Tehama County,2015,Number,"10,576"
06103,County,Tehama County,2017,Number,"10,822"
06105,County,Trinity County,2011,Number,"1,729"
06105,County,Trinity County,2013,Number,"1,622"
06105,County,Trinity County,2015,Number,"1,517"
06105,County,Trinity County,2017,Number,"1,652"
06107,County,Tulare County,2011,Number,"97,889"
06107,County,Tulare County,2013,Number,"99,964"
06107,County,Tulare County,2015,Number,"102,206"
06107,County,Tulare County,2017,Number,"103,599"
06109,County,Tuolumne County,2011,Number,"6,141"
06109,County,Tuolumne County,2013,Number,"6,245"
06109,County,Tuolumne County,2015,Number,"6,122"
06109,County,Tuolumne County,2017,Number,"6,100"
06111,County,Ventura County,2011,Number,"141,610"
